institution_location	specimen_origin	collection_code	collection_name	collection_name2
Texas	Texas	H-TTC-PLUC	Texas Technological College Herbarium. Plants of Lubbock County, Texas	
Texas	Texas	H-TTC-PLYC	Texas Technological College Herbarium. Plants of Lynn County, Texas	
Texas	Texas	H-TTC-PMLC	Texas Technological College Herbarium. Plants of McLennan County, Texas	
Texas	Texas	H-TTC-PMIC	Texas Technological College Herbarium. Plants of Midland County, Texas	
Texas	Texas	H-TTC-PMOC	Texas Technological College Herbarium. Plants of Motley County, Texas	
Texas	Texas	H-TTC-PPEC	Texas Technological College Herbarium. Plants of Pecos County, Texas	
Texas	Texas	H-TTC-PRAC	Texas Technological College Herbarium. Plants of Randall County, Texas	
Texas	New Mexico	H-TTC-PSMC	Texas Technological College Herbarium. Plants of San Miguel County, New Mexico	
Texas	Texas	H-TTC-PSWC	Texas Technological College Herbarium. Plants of Swisher County, New Mexico	
Texas	New Mexico	H-TTC-PTAC	Texas Technological College Herbarium. Plants of Taos County, New Mexico	
Texas	Texas	H-TTC-PTEC	Texas Technological College Herbarium. Plants of Terry County, Texas	
Texas	Texas	TTC-AH-PJC	Texas Technological College. Agronomy Herbarium. Plants of Jones County Texas	
Texas		TTC-RMH	Texas Technological College. Range Management Herbarium.	
Texas		TTC-B	Texas Technological College-Botany	
Texas	Texas	TAMU-DB-PTX	The Department of Biology Herbarium. Texas A&M University. Plants of Texas	
New York	Florida	NYBG-EPF	The New York Botanical Garden with the cooperation of Charles Deering. Exploration of Peninsular Florida.	
New York	Florida	NYBG-EEK	The New York Botanical Garden with the cooperation of Charles Deering. Exploration of the Everglade Keys, Tropical Florida	
New York	Florida	NYBG-EE	The New York Botanical Garden with the cooperation of Charles Deering. Exploration of the Everglades	
New York	Florida	NYBG-ETF	The New York Botanical Garden with the cooperation of Charles Deering. Exploration of Tropical Florida.	
New York	Florida	NYBG-EFK	The New York Botanical Garden with the cooperation of Mr. Charles Deering. Exploration of the Florida Keys, Tropical Florida.	
Texas		H-R	The Runyon Herbarium, Brownsville, Texas	
Texas	Mexico	TAMU-TH-PMX	Tracy Herbarium. Texas A&M University. Plants of Mexico	
Texas	Oklahoma	TAMU-TH-POK	Tracy Herbarium. Texas A&M University. Plants of Oklahoma	
Texas	Texas	TAMU-TH-PTX	Tracy Herbarium. Texas A&M University. Plants of Texas	Tracy Herbarium. A.& M. College of Texas. Plants of Texas
Michigan		H-UM-CKD	University of Michigan Herbarium. Charles K. Dodge Collection	
Texas	Georgia	H-UT-PGA	University of Texas Herbarium. Plants of Georgia	
